Иванов,101,15:05:2022 13:13:00,Ivanov@namecomp.ru,Иван,2L6KZG,Менеджер по работе с клиетами ,Иванович
Петров,102,15:05:2022 13:13:01,petrov@namecomp.ru,Петр,uzWC67,Менеджер по работе с клиентами,Петрович
Федоров,103,15:05:2022 13:13:02,fedorov@namecomp.ru,Федор,8ntwUp,Администратор,Федорович
Миронов,104,15:05:2022 13:13:03,mironov@namecomp.ru,Вениамин,YOyhfR,Лаборант,Куприянович
Ширяев,105,15:05:2022 13:13:04,shiryev@namecomp.ru,Ермолай,RSbvHv,Лаборант,Вениаминович
Игнатов,106,15:05:2022 13:13:05,ignatov@namecomp.ru,Кассиан,rwVDh9,Лаборант,Васильевич
Хохлов,107,15:05:2022 13:13:06,hohlov@namecomp.ru,Владимир,LdNyos,Начальник ОТК,Мэлсович
Стрелков,108,15:05:2022 13:13:07,strelkov@namecomp.ru,Мстислав,gynQMT,Администратор,Георгьевич
Беляева,109,15:05:2022 13:13:08,belyeva@@namecomp.ru,Лилия,AtnDjr,Контролер ОТК,Наумовна
Смирнова,110,15:05:2022 13:13:09,smirnova@@namecomp.ru,Ульяна,JlFRCZ,Контролер ОТК,Гордеевна
