1,Фролов,Андрей,Иванович,45462526,1180 176596,7.14.2001,"344288, г. Москва, ул. Чехова, 1, кв. 34",gohufreilagrau-3818@yopmail.com,cl12345
2,Николаев,Даниил,Всеволодович,45462527,2280 223523,2.10.2001,"614164, г. Москва, ул. Степная, 30, кв. 75",xawugosune-1385@yopmail.com,cl12346
3,Снегирев,Макар,Иванович,45462528,4560 354155,5.21.1998,"394242, г. Москва, ул. Коммунистическая, 43, кв. 57",satrahuddusei-4458@yopmail.com,cl12347
4,Иванов,Иван,Ильич,45462529,9120 554296,10.1.1998,"660540, г. Москва, ул. Солнечная, 25, кв. 78",boippaxeufrepra-7093@yopmail.com,cl12348
5,Филиппова,Анна,Глебовна,45462530,2367 558134,5.31.1976,"125837, г. Москва, ул. Шоссейная, 40, кв. 92",zapramaxesu-7741@yopmail.com,cl12349
6,Иванов,Михаил,Владимирович,45462531,7101 669343,11.4.1985,"125703, г. Москва, ул. Партизанская, 49, кв. 84",rouzecroummegre-3899@yopmail.com,cl12350
7,Власов,Дмитрий,Александрович,45462532,3455 719630,8.17.1998,"625283, г. Москва, ул. Победы, 46, кв. 7",ziyeuddocrabri-4748@yopmail.com,cl12351
8,Серова,Екатерина,Львовна,45462533,2377 871623,10.24.1984,"614611, г. Москва, ул. Молодежная, 50, кв. 78",ketameissoinnei-1951@yopmail.com,cl12352
9,Борисова,Ирина,Ивановна,45462534,8755 921148,10.14.1976,"454311, г. Москва, ул. Новая, 19, кв. 78",yipraubaponou-5849@yopmail.com,cl12353
10,Зайцев,Никита,Артёмович,45462535,4355 104594,10.14.1999,"660007, г. Москва, ул. Октябрьская, 19, кв. 42",crapedocouca-3572@yopmail.com,cl12354
11,Медведев,Святослав,Евгеньевич,45462536,2791 114390,7.13.1985,"603036, г. Москва, ул. Садовая, 4, кв. 13",ceigoixakaunni-9227@yopmail.com,cl12355
12,Коротков,Кирилл,Алексеевич,45462537,5582 126286,5.26.1976,"450983, г. Москва, ул. Комсомольская, 26, кв. 60",yeimmeiwauzomo-7054@yopmail.com,cl12356
13,Калашникова,Арина,Максимовна,45462538,2978 133653,8.13.1999,"394782, г. Москва, ул. Чехова, 3, кв. 14",poleifenevi-1560@yopmail.com,cl12357
14,Минина,Таисия,Кирилловна,45462539,7512 141956,10.13.1985,"603002, г. Москва, ул. Дзержинского, 28, кв. 56",kauprezofautei-6607@yopmail.com,cl12358
15,Наумов,Серафим,Романович,45462540,5046 158433,4.15.1999,"450558, г. Москва, ул. Набережная, 30, кв. 71",quaffaullelourei-1667@yopmail.com,cl12359
16,Воробьева,Василиса,Евгеньевна,45462541,2460 169505,1.13.1999,"394060, г. Москва, ул. Фрунзе, 43, кв. 79",jsteele@rojas-robinson.net,cl12360
17,Калинин,Александр,Андреевич,45462542,3412 174593,1.7.1999,"410661, г. Москва, ул. Школьная, 50, кв. 53",vhopkins@lewis-mullen.com,cl12361
18,Кузнецова,Милана,Владиславовна,45462543,4950 183034,1.24.1999,"625590, г. Москва, ул. Коммунистическая, 20, кв. 34",nlewis@yahoo.com,cl12362
19,Фирсов,Егор,Романович,45462544,5829 219464,9.2.1993,"625683, г. Москва, ул. 8 Марта, 20, кв. 21",garciadavid@mckinney-mcbride.com,cl12363
